_id,score,magnitude,date
936877818515824642,0.2,0.2,1512204052939
936877820403269632,0.2,0.2,1512204053389
936877821267402752,0,0.3,1512204053595
936877821946839045,0,0.3,1512204053757
936877824211746820,-0.1,0.1,1512204054297
936877825885216769,0.1,0.3,1512204054696
936877826434727939,0,0,1512204054827
936877823884587008,0,0.3,1512204054219
936877829056217089,0.1,0.2,1512204055452
936877829249105920,0.1,0.1,1512204055498
936877832914874369,-0.2,0.6,1512204056372
936877837713149953,0.4,0.4,1512204057516
936877837935509506,0.3,0.3,1512204057569
936877838124191744,0,0.3,1512204057614
936877841668440064,0.3,0.3,1512204058459
936877842528288768,0,0.1,1512204058664
936877844608643073,0,0.3,1512204059160
936878162545336320,-0.1,0.1,1512204134962
936878163740655616,0,0,1512204135247
936878165669986304,0.8,0.8,1512204135707
936878165250621441,0.1,0.8,1512204135607
936878167108624384,0,0.2,1512204136050
936878167662272519,-0.3,0.3,1512204136182
936878170430517249,-0.7,0.7,1512204136842
936878171231723521,0.4,0.9,1512204137033
936878172074684418,0.1,0.2,1512204137234
936878172120821761,-0.3,0.3,1512204137245
936878174826196992,0.8,0.8,1512204137890
936878175086243840,0.1,0.1,1512204137952
936878174977212416,0,0.1,1512204137926
936878175392481280,0.4,0.4,1512204138025
936878175174369281,0.2,0.5,1512204137973
936878175686033408,-0.8,0.8,1512204138095
936878177405698049,0,0.1,1512204138505
936878178395570176,0.1,0.2,1512204138741
936878179020505088,0,0,1512204138890
936878178127065088,0.2,0.2,1512204138677
936878180404576256,0.1,0.2,1512204139220
936878183655251970,0,0.3,1512204139995
936878184225632256,0,0.1,1512204140131
936878185982988289,0.1,0.1,1512204140550
936878186578591744,0.8,0.8,1512204140692
936878188126380033,0,0.1,1512204141061
936878187904036864,-0.1,0.5,1512204141008
936878231021486080,0.3,0.3,1512204151288
936878232548229120,0.2,0.2,1512204151652
936878234116931584,0.3,1,1512204152026
936878234896969730,0,0.3,1512204152212
936878235224174592,0.1,0.1,1512204152290
936878235551383552,0,0.3,1512204152368
936878240651550720,0,0.3,1512204153584
936878275812515841,0,0.1,1512204161967
936878276429062144,0.4,1.3,1512204162114
936878276680622080,0,0.1,1512204162174
936878274881339392,0.2,1.1,1512204161745
936878284394020866,0,0.3,1512204164013
936878282976272384,0.4,0.4,1512204163675
936878284729491457,0.1,0.4,1512204164093
936878287346810880,0.3,0.6,1512204164717
936878287447396352,0,0.3,1512204164741
936878289251049472,0.1,0.1,1512204165171
936878289351622656,0,0.1,1512204165195
936878288001105920,0.1,0.2,1512204164873
936878290253393920,0,0.3,1512204165410
936878292153413636,0.6,0.6,1512204165863
936878293554421760,0,0.3,1512204166197
936878294254809088,0.4,1.3,1512204166364
936878294892294144,0.1,0.1,1512204166516
936878295731154945,0,0.3,1512204166716
936878295898927105,0.1,0.2,1512204166756
936878296670789633,0,0,1512204166940
936878297715052544,0.1,0.2,1512204167189
936878299510333441,0,0.8,1512204167617
936878300407906306,0,0.3,1512204167831
936878301905170432,0.9,0.9,1512204168188
936878302647615489,0,0.3,1512204168365
936878303071297538,0,0,1512204168466
936878300445601792,0.2,1.1,1512204167840
936878307445956608,-0.1,0.5,1512204169509
936878307588562944,0,0.3,1512204169543
936878308796506114,0,0,1512204169831
936878309215944704,0,0.1,1512204169931
936878308230250496,0,0,1512204169696
936878310167941120,-0.1,0.1,1512204170158
936878310218280960,0,0,1512204170170
936878311178870785,0.6,1.2,1512204170399
936878313791832065,0.9,0.9,1512204171022
936878314500714496,0,0.3,1512204171191
936878315071184898,0,0.1,1512204171327
936878319965835264,0.3,0.7,1512204172494
936878318569234432,0,0.4,1512204172161
936878320603447296,-0.1,0.1,1512204172646
936878321211547648,0,0,1512204172791
936878323090710529,0.1,0.3,1512204173239
936878326127271936,0.1,0.3,1512204173963
936878329008816128,0,0.3,1512204174650
936878326412488704,0.2,1.1,1512204174031
936878330896302081,0.2,0.5,1512204175100
936878332439699456,-0.3,0.3,1512204175468
936878333727408129,0,0,1512204175775
936878333660348416,0,0.3,1512204175759
936878334109130752,0,0.3,1512204175866
936878335019311105,0,0.3,1512204176083
936878336197910531,0,0.3,1512204176364
936878337200308224,-0.2,1.2,1512204176603
936878338395709442,0,1.1,1512204176888
936878338550800385,0.3,0.3,1512204176925
936878339616260096,-0.1,0.4,1512204177179
936878342833291264,0,0.3,1512204177946
936878344225767424,0.1,0.5,1512204178278
936878345882501122,0.1,0.4,1512204178673
936878347723800576,0,0.3,1512204179112
936878347556028417,0.1,0.1,1512204179072
936878349057638400,0.2,0.7,1512204179430
936878349544128514,0.1,0.6,1512204179546
936878349774811136,0,0.7,1512204179601
936878351775494145,0.1,0.5,1512204180078
936878351163129857,0,0.1,1512204179932
936878352425558018,0.3,0.3,1512204180233
936878354170503168,0.1,0.2,1512204180649
936878354657001473,0,0.3,1512204180765
936878354510200832,-0.7,0.7,1512204180730
936878355399319552,0.1,0.3,1512204180942
936878356125040640,0,0,1512204181115
936878361200037891,0,0.3,1512204182325
936878362961702913,0.2,0.8,1512204182745
936878364366815233,0.4,0.9,1512204183080
936878365855723520,-0.9,0.9,1512204183435
936878366132617217,0,0.7,1512204183501
936878366275158016,0.1,0.1,1512204183535
936878369441845249,0.4,0.4,1512204184290
936878369739649024,-0.3,0.9,1512204184361
936878370171764736,-0.9,0.9,1512204184464
936878370394071041,0.5,0.5,1512204184517
936878371111280640,0,0.8,1512204184688
936878371417473024,-0.8,0.8,1512204184761
936878371736129536,0.6,1.9,1512204184837
936878371652304896,0.1,0.6,1512204184817
936878372356964352,0,0.1,1512204184985
936879116514598914,-0.4,0.4,1512204362406
936879117093314560,0.6,0.6,1512204362544
936879117504413697,0.4,0.4,1512204362642
936879116845957126,-0.4,0.4,1512204362485
936879118376828928,0.3,0.3,1512204362850
936879117940637697,0.6,0.6,1512204362746
936879118230028288,0.6,0.6,1512204362815
936879118477533186,0.6,0.6,1512204362874
936879118297133056,0.6,0.6,1512204362831
936879118607462400,0.6,0.6,1512204362905
936879118750121984,0.6,0.6,1512204362939
936879118926299136,0,0,1512204362981
936879118909456384,0.6,0.6,1512204362977
936879119177940992,0.6,0.6,1512204363041
936879119031078913,0.2,0.8,1512204363006
936879119219822593,0.6,0.6,1512204363051
936879119303766016,0.6,0.6,1512204363071
